

 ----- Approach monitoring ----- 
212/571:   6, 142,  0035104449_1.fit,   4X4,   2007 MAR 02 01:22:09.89,   2.967,          3s,   JUPITER  
213/571:   6, 143,  0035104452_1.fit,   4X4,   2007 MAR 02 01:22:12.89,   2.967,          2s,   JUPITER  
214/571:   6, 144,  0035104631_1.fit,   1X1,   2007 MAR 02 01:25:13.27,   0.200,      3m  0s,   JUPITER  
215/571:   6, 145,  0035104871_1.fit,   1X1,   2007 MAR 02 01:29:13.27,   0.200,      3m 59s,   JUPITER  
216/571:   6, 146,  0035105111_1.fit,   1X1,   2007 MAR 02 01:33:13.27,   0.200,      4m  0s,   JUPITER  
217/571:   6, 147,  0035105351_1.fit,   1X1,   2007 MAR 02 01:37:13.27,   0.200,      4m  0s,   JUPITER  
218/571:   6, 148,  0035105591_1.fit,   1X1,   2007 MAR 02 01:41:13.27,   0.200,      4m  0s,   JUPITER  
219/571:   6, 149,  0035105831_1.fit,   1X1,   2007 MAR 02 01:45:13.27,   0.200,      3m 59s,   JUPITER  
220/571:   6, 150,  0035106071_1.fit,   1X1,   2007 MAR 02 01:49:13.27,   0.200,      4m  0s,   JUPITER  
221/571:   6, 151,  0035106311_1.fit,   1X1,   2007 MAR 02 01:53:13.27,   0.200,      4m  0s,   JUPITER  
